diagnosis,note,ICD1,ICD2,ICD3,ICD4,ICD5
大腸結核菌感染,1,A183,P370,,,
大腸結腸炎,1,K529,P783,,,
大腸結腸癌,0,C189,,,,
大腸絨毛管狀腺瘤性息肉併分化不良,0,D126,,,,
大腸絨毛膜腺瘤,0,C189,,,,
大腸缺血,0,K559,,,,
大腸缺血性壞死,1,K5500,P77,,,
大腸缺血性病變,0,K559,,,,
大腸缺血性發炎,0,K559,,,,
大腸缺血性腸炎,0,K559,,,,
大腸肛門吻合處狹窄,5,K914,Y833,,,
大腸肝曲部腺癌,0,C183,,,,
大腸脂肪肉瘤,0,C189,,,,
大腸脾曲癌,0,C185,,,,
大腸腫塊,0,D374,,,,
大腸腫瘍,0,K633,,,,
大腸腫瘤,0,D374,,,,
大腸腫瘤破裂,0,D374,,,,
大腸腫瘤術後後遺症,0,D374,,,,
大腸腫瘤阻塞,0,D374,,,,
大腸腹腔疝氣,0,K469,,,,
大腸腺性瘜肉,0,D126,,,,
大腸腺瘤,0,C189,,,,
大腸腺瘤性瘜肉症,0,D126,,,,
大腸腺癌,0,C189,,,,
大腸腺癌術後,0,C189,,,,
大腸膀胱廔管,0,N321,,,,
大腸膀胱廔管穿孔,0,N321,,,,
大腸膽廔管,0,K632,,,,
大腸膿瘍,0,K630,,,,
大腸良性腫瘤,0,D126,,,,
大腸良性贅瘤,0,D126,,,,
大腸菌菌血症,0,A498,,,,
大腸萎縮,0,K638,,,,
大腸血管擴張症,0,K552,,,,
大腸血管梗塞性腸壞死,1,K5500,P77,,,
大腸血管生成異常,0,K552,,,,
大腸血管異常,0,K552,,,,
大腸血管病變,0,K552,,,,
大腸血管瘤,0,D180,,,,
大腸血管發育異常,0,K552,,,,
大腸血管肉瘤,0,C189,,,,
大腸術後吻合處滲漏,5,K918,Y832,,,
大腸術後感染,5,T814,Y839,,,
大腸表皮廔管,0,K632,,,,
大腸躁動,0,K588,,,,
大腸轉移,0,C785,,,,
大腸轉移性惡性腫瘤,0,C785,,,,
大腸轉移性癌,0,C785,,,,
大腸造口出血,5,K914,Y833,,,
大腸造口壞死,5,T857,Y833,,,
大腸造口壞疽,5,T857,Y833,,,
大腸造口裂開,5,T855,Y833,,,
大腸造廔口出血,5,K914,Y833,,,
大腸造廔脫垂,5,K914,Y832,,,
大腸部份壞死,1,K5500,P77,,,
大腸阻塞,1,K566,P769,,,
大腸阻塞破裂,1,K566,P769,,,
大腸降結腸腺癌,0,C186,,,,
大腸陰道瘻管,0,N823,,,,
大腸陰道瘻管腫瘤,5,D374,D397,,,
大腸靜脈曲張出血,0,I868,,,,
大腸類癌,0,C189,,,,
大腸黏膜下腫瘤,0,D374,,,,
大腸黏膜炎,1,K529,P783,,,
大腿三度燙傷,7,T243,X09,X76,X97,Y26
大腿二度灼燒,7,T242,X09,X76,X97,Y26
大腿傷口,2,L984,S711,,,
大腿傷口感染,2,L088,T793,,,
大腿出血,3,R5800,S799,P548,,
大腿刺傷,0,S711,,,,
大腿前部電灼傷,5,T240,W87,,,
大腿動脈斷裂,0,S750,,,,
大腿動脈栓塞,0,I743,,,,
大腿動脈瘤,0,I724(nTR),,,,
大腿動脈血管破裂,3,R5800,S799,P548,,
大腿化膿性肌炎,0,M600,,,,
大腿受傷,0,S799,,,,
大腿壓迫性骨折,2,M844,S729,,,
大腿壞死,0,R02,,,,
大腿壞死性筋膜炎,0,M726,,,,
大腿壞死性蜂窩性組織炎,0,L031,,,,
大腿壞死性關節炎,0,M138,,,,
大腿外傷骨折,0,S729,,,,
大腿外部觸電,7,T754,W87,X83,Y08,Y33
大腿多處槍傷,7,S711,W34,X74,X95,Y24
大腿小腿褥瘡,0,L899,,,,
大腿平滑肌惡性腫瘤,0,C492,,,,
大腿廔管,0,L988,,,,
大腿急性細菌性肌膜炎,0,M726,,,,
大腿惡性梭狀細胞肌肉瘤,0,C492,,,,
大腿惡性橫紋肌瘤,0,C492,,,,
大腿惡性瀰漫性肌腱滑囊膜巨細胞瘤,0,C492,,,,
大腿惡性組織細胞瘤,0,C492,,,,
大腿惡性纖維組織細胞瘤,0,C492,,,,
大腿惡性纖維組織細胞癌,0,C492,,,,
大腿惡性肉瘤,0,C492,,,,
大腿惡性脂肪肉瘤,0,C492,,,,
大腿惡性腫瘤,0,C765,,,,
大腿惡性軟組織肉瘤,0,C492,,,,
大腿惡性軟骨瘤,0,C492,,,,
大腿惡性黏液纖維肉瘤,0,C492,,,,
大腿感染,0,L088,,,,
大腿感染壞疽,0,R02,,,,
大腿感染性血腫,0,L088,,,,
大腿截肢處蜂窩性組織炎,0,L031,,,,
大腿挫傷,0,S701,,,,
大腿挫傷瘀傷,0,S701,,,,
大腿損傷,0,S799,,,,
大腿撕裂傷,0,S711,,,,
大腿未分化梭狀細胞肉瘤,0,C492,,,,
大腿栓塞,0,I743,,,,
大腿植入物異位,5,T843,Y831,,,
大腿橫紋肌溶解症,0,M628,,,,
大腿橫紋肌癌,0,C492,,,,
大腿橫紋肌肉瘤,0,C492,,,,
大腿橫紋肌肉癌,0,C492,,,,
大腿深層靜脈栓塞,0,I802,,,,
大腿深部靜脈栓塞,0,I802,,,,
大腿滑膜性惡性肉瘤,0,C492,,,,
大腿潰爛,0,L97,,,,
大腿燒傷,7,T240,X09,X76,X97,Y26
大腿燙傷,7,T240,X09,X76,X97,Y26
大腿病理性骨折,0,M844,,,,
大腿皮下感染腫塊,0,L088,,,,
大腿皮下血腫,3,R5800,S701,P548,,
大腿皮膚壞死,0,R02,,,,
大腿筋膜炎,0,M726,,,,
大腿粉碎性骨折,0,S729,,,,
大腿組織炎,0,L088,,,,
大腿結締組織惡性腫瘤,0,C492,,,,
大腿結締組織肉瘤,0,C492,,,,
大腿結締組織腫瘤,0,D481,,,,
大腿纖維瘤,0,D487,,,,
大腿纖維肉瘤,0,C492,,,,
大腿缺血性發紺,0,I738,,,,
大腿肉瘤,0,C492,,,,
大腿肉癌,0,C492,,,,
大腿肌肉斷裂出血,0,S799,,,,
大腿肌肉炎,0,M609,,,,
大腿肌肉膿瘍,0,M600,,,,
大腿股動脈出血,3,R5800,S750,P548,,
大腿股動脈栓塞,0,I743,,,,
大腿股動脈瘤,0,I724(nTR),,,,
大腿股骨頸骨折,0,S720,,,,
大腿股骨骨折,0,S729,,,,
大腿脂肉瘤,0,C492,,,,
大腿脂肪肉芽瘤,0,C492,,,,
大腿脫臼,0,S730,,,,
大腿腔室症候群,0,I871(nTR),,,,
大腿腫瘤,0,D487,,,,
大腿腺癌,0,C492,,,,
大腿膿瘍,0,L024,,,,
大腿膿芽,0,L024,,,,
大腿蓄膿性肌炎,0,M600,,,,
大腿處細菌感染膿瘍,0,L024,,,,
大腿蜂窩性組織炎,0,L031,,,,
大腿蜂窩組織炎,0,L031,,,,
大腿血腫,3,R5800,S701,P548,,
大腿術後後遺症,5,T819,Y839,,,
大腿裂傷,0,S711,,,,
大腿褥瘡,0,L899,,,,
大腿軟組織惡性腫瘤,0,C492,,,,
大腿軟組織感染,0,L088,,,,
大腿軟組織肉瘤,0,C492,,,,
大腿軟組織膿瘍,0,L024,,,,
大腿轉子間骨折,0,S721,,,,
大腿轉移,0,C798,,,,
大腿鈍性傷,0,S799,,,,
大腿開放性骨折,0,S729,,,,
大腿關節發炎,0,M139,,,,
大腿電流燒焦,7,T240,W87,X83,Y08,Y33
大腿頸骨折,0,S720,,,,
大腿骨惡性骨肉瘤,0,C402,,,,
大腿骨折,0,S729,,,,
大腿骨折後遺症,5,T931,Y86,,,
大腿骨折手術後,0,S729,,,,
大腿骨折行動困難,0,S729,,,,
大腿骨癌,0,C402,,,,
大腿骨肉瘤,0,C402,,,,
大腿骨脫臼,0,S730,,,,
大腿骨腫瘤,0,D480,,,,
大腿骨膜破裂,0,S799,,,,
大腿骨轉子間骨折,0,S721,,,,
大腿骨開放性骨折,0,S729,,,,
大腿骨頸骨折,0,S720,,,,
大腿骨骨折,0,S729,,,,
大腿骨髓炎,0,M869,,,,
大腿骨鱗狀上皮癌,0,C444,,,,
大腿鱗狀上皮癌,0,C447,,,,
大腿鱗狀上皮細胞惡性腫瘤,0,C447,,,,
大腿鱗狀皮膚癌,0,C447,,,,
大腿鱗狀細胞癌,0,C447,,,,
大腿黴菌性筋膜炎,5,M726,B369,,,
大葉性肺炎,1,J181,P239,,,
大血球性貧血,1,D648,P614,,,
大血管侵犯,0,C798,,,,
大血管出血,3,R5800,T145,P549,,
大血管壓迫性支氣管性阻塞疾病,0,J449,,,,
大血管栓塞,0,I749(EM),,,,
大血管潰爛,1,I99,P299,,,
大血管破裂,3,R5800,T145,P549,,
大血管轉位,0,Q203,,,,
大血管轉移,0,C798,,,,
大血管阻塞,1,I99,P299,,,
大貨車之車身壓傷,6,V599,X82,Y03,Y32,
大貨車翻覆,6,V599,X82,Y03,Y32,
大貨車翻覆壓砸致死,6,V599,X82,Y03,Y32,
大貨車車門夾傷,6,W23,X83,Y08,Y33,
大貨車輪胎輾壓,6,V041,X82,Y03,Y32,
大貨車輾壓,6,V041,X82,Y03,Y32,
大貨車駕駛卸貨遭重物(鋼圈)壓擊,6,W20,X83,Y08,Y33,
大轉子骨折,0,S721,,,,
大量上消化道出血,3,K922,S369(TR),P543,,
大量下消化道出血,3,K922,S369(TR),P543,,
大量內出血,3,R5800,T148,P549,,
大量出血,3,R5800,T149,P549,,
大量出血休克,3,R571,T794,P968,,
大量出血性休克,3,R571,T794,P968,,
大量吐血,1,K920,P540,,,
大量咳血,0,R042,,,,
大量喉部出血休克,3,R571,T794,P968,,
大量外出血,0,T149,,,,
大量失血,3,R5800,T149,P549,,
大量心包膜積血,2,I312(nTR),S260,,,
大量泥土壓傷,6,W20,X83,Y08,Y33,
大量消化道出血,3,K922,S369(TR),P543,,
大量肋膜積水,1,J90,P288,,,
大量肋膜積液,1,J90,P288,,,
大量肌肉壞死,0,R02,,,,
大量肌肉感染,0,M600,,,,
大量肺出血,3,R048(nTR),S273,P261,,
大量肺水,1,J90,P288,,,
大量胸水,1,J90,P288,,,
大量腸壞死,1,K5500,P77,,,
大量腸壞死切除,1,K5500,P77,,,
大量腸壞死術後,1,K5500,P77,,,
大量腸胃道出血,3,K922,S369(TR),P543,,
大量腹水,0,R18,,,,
大量腹膜轉移,0,C786,,,,
大量腹血,3,R5800,S369(TR),P548,,
大量自發性腦出血,1,I6199(nTR),P524,,,
大量輸血,3,R5800,T149,P549,,
大量輸血後症候群,5,T809,Y848,,,
大量轉移肝腫瘤出血,0,C787,,,,
大量飲酒及併發症,0,F101,,,,
大量鼻出血,2,R040,S099,,,
大量鼻腔出血,0,R040,,,,
大陰唇惡性腫瘤,0,C510,,,,
大陰唇癌,0,C510,,,,
大陰唇膿瘍,0,N764,,,,
大陰唇蜂窩性組織炎,0,N762,,,,
大陰唇鱗狀上皮癌,0,C510,,,,
大陸型B型肝炎,1,B169,P353,,,
大陸型C型肝炎,1,B171,P353,,,
大面積燒傷,7,T300,X09,X76,X97,Y26
大面積燒燙傷,7,T300,X09,X76,X97,Y26
大面積瘀傷,0,T140,,,,
大龍達馬松農藥中毒,7,T600,X48,X68,X87,Y18
天使症候群,0,Q935,,,,
天寒高齡體弱,0,R53,,,,
天庖疹,1,L109,L00,,,
天庖瘡,1,L109,L00,,,
天庖瘡感染,0,L109,,,,
天泡瘡,1,L109,L00,,,
天然氣外洩,7,T58,X472,X672,X882,Y172
天疱瘡,1,L109,L00,,,
天皰瘡,1,L109,L00,,,
天花,0,B03,,,,
太田母斑,0,L988,,,,
太藤氏病,0,L739,,,,
失代償性心臟衰竭,1,I509,P290,,,
失代償性肝硬化,1,K746,P788,,,
失代償性肝臟衰竭,0,K729,,,,
失代償性酒精性肝硬化,0,K703,,,,
失償性心臟衰竭,1,I509,P290,,,
失償性慢性阻塞性肺病,0,J449,,,,
失償性肝功不全,0,K729,,,,
失償性肝硬化,1,K746,P788,,,
失償性肝臟衰竭,0,K729,,,,
失償性肝衰竭,0,K729,,,,
失償性酒精性肝硬化,0,K703,,,,
失去意識後顏面溺沒於七分滿臉盆中,7,T751,W66,X71,X92,Y21
失常性肝衰竭,0,K729,,,,
失張性膀胱,0,N312,,,,
失憶徵候群,0,R413,,,,
失憶症,0,R413,,,,
失憶症候群,0,R413,,,,
失控性高血壓,1,I10,P292,,,
失明,0,H540,,,,
失智,0,F03,,,,
失智型腦血管疾病,0,F019,,,,
失智症,0,F03,,,,
失智症伴有行為障礙,0,F03,,,,
失液性休克,3,R571,T794,P968,,
失溫,5,T68,X31,,,
失溫(R),1,R680,P809,,,
失溫休克,3,R578,T794,P968,,
失溫性休克,3,R578,T794,P968,,
失痴症,0,F03,,,,
失眠,0,G470,,,,
失眠症,0,G470,,,,
失聰,0,H919,,,,
失能,1,R092,P290,,,
失能倒地,6,W19,X80,Y01,Y30,
失血,3,R5800,T149,P549,,
失血休克,3,R571,T794,P968,,
失血性休克,3,R571,T794,P968,,
失血性外傷,0,T149,,,,
失血性猝死,1,R960,R95,,,
失血性腦中風,0,I6199(nTR),,,,
失血性貧血,1,D500,P613,,,
失血過多,3,R5800,T149,P549,,
失語,0,R470,,,,
失語症,0,R470,,,,
失調障礙,0,F459,,,,
失足,0,W19,,,,
失足溺水,7,T751,W74,X71,X92,Y21
失足落水,5,T751,W74,,,
失足落海,5,T751,W70,,,
失足跌入農田旁水溝溺斃,7,T751,W73,X71,X92,Y21
失踨,0,R97,,,,
失蹤,0,R97,,,,
失蹤滿10年,0,R97,,,,
失蹤滿3年,0,R97,,,,
失蹤滿七年,0,R97,,,,
失音性腦中風,0,I6409,,,,
失養性外側硬化症,0,G1229,,,,
失養性水泡性表皮鬆解症,0,L512,,,,
失養性腦病變,0,G934,,,,
失養症,0,E46,,,,
夾傷,6,W23,X83,Y08,Y33,
夾層動脈瘤,0,I729(nTR),,,,
夾層性主動脈瘤,0,I719,,,,
夾層性主動脈瘤破裂,0,I718(nTR),,,,
夾層性動脈瘤,0,I729(nTR),,,,
夾層性動脈瘤破裂,0,I729(nTR),,,,
夾板壓傷,6,W20,X83,Y08,Y33,
奇異變形桿菌菌血症,0,A498,,,,
奈瑟氏菌血症,0,A549,,,,
奧斯勒韋伯藍道症候群,0,I780,,,,
女嬰遭置入垃圾袋,0,Y069,,,,
女性乳房之中央位置惡性腫瘤,0,C501,,,,
女性乳房乳頭乳暈之惡性腫瘤,0,C500,,,,
女性乳房乳頭及乳暈之惡性腫瘤,0,C500,,,,
女性乳房內上四分之一惡性腫瘤,0,C502,,,,
女性乳房其他特定部位之惡性腫瘤,0,C509,,,,
女性乳房外上四分之一惡性腫瘤,0,C504,,,,
女性乳房外下四分之一惡性腫瘤,0,C505,,,,
女性乳房惡性腫瘤,0,C509,,,,
女性乳房腫瘤,0,D486,,,,
女性乳癌,0,C509,,,,
女性乳癌術後復發,0,C509,,,,
女性副乳房惡性腫瘤,0,C509,,,,
女性外陰部鱗狀上皮細胞癌,0,C519,,,,
女性惡性乳癌,0,C509,,,,
女性會陰癌,0,C519,,,,
女性生殖器官惡性腫瘤,0,C579,,,,
女性生殖器官腫瘤,0,D399,,,,
女性生殖系統惡性腫瘤,0,C579,,,,
女性骨盆內器官及組織之炎症,0,N739,,,,
女陰惡性腫瘤,0,C519,,,,
女陰癌,0,C519,,,,
女陰皮膚癌,0,C519,,,,
女陰腫瘤,0,D397,,,,
奴卡氏菌感染,0,A439,,,,
奴卡氏菌肺炎,0,A430,,,,
奴卡氏菌菌血症,0,A439,,,,
妄想,0,F220,,,,
妄想型思覺失調症,0,F200,,,,
妄想型精神分裂症,0,F200,,,,
妄想性人格違常,0,F600,,,,
妄想性精神官能症,0,F220,,,,
妄想性老年痴呆,0,F03,,,,
妄想狀態,0,F220,,,,
妄想症,0,F220,,,,
妄想症精神病,0,F220,,,,
妄想精神病,0,F220,,,,
妊娠28周胎死腹中,1,O364,R999,,,
妊娠多囊腎,1,O998,Q611,,,
妊娠子宮內毒性影響,1,O149,P000,,,
妊娠引起之肺動脈栓塞,0,O882,,,,
妊娠性心肌病變,1,O998,Q611,,,
妊娠毒血症,1,O149,P000,,,
妊娠滋養層疾病,0,O019,,,,
妊娠滋養細胞惡性腫瘤,0,C58,,,,
妊娠生產及產褥期併發症後期影響,0,O979,,,,
妊娠糖尿病,1,O244,P700,,,
妊娠陰道出血,0,O209,,,,
妊娠高血壓,1,O16,P000,,,
妥瑞氏症,0,F952,,,,
姆趾壞疽,0,R02,,,,
姿位性低血壓,0,I951,,,,
姿位性循環不良,7,T71,W84,X70,X91,Y20
姿位性窒息,7,T71,W83,X70,X91,Y20
姿位性腦缺氧,3,G931,T71,P219,,
姿勢性低血壓,0,I951,,,,
姿勢性呼吸道阻塞,7,T179,W80,X70,X91,Y20
姿勢性壓迫,7,T71,W83,X70,X91,Y20
姿勢性窒息,7,T71,W83,X70,X91,Y20
姿勢性窒息死,7,T71,W83,X70,X91,Y20
姿態性低血壓,0,I951,,,,
姿態性呼吸困難,3,R060,T71,P219,,
姿態性呼吸窘迫,1,R060,P229,,,
姿態性窒息,7,T71,W84,X70,X91,Y20
姿態性缺氧,7,T71,W84,X70,X91,Y20
姿態性肺炎,1,J189,P239,,,
威利斯氏動脈環動脈瘤破裂,0,I6090,,,,
威利氏症,0,Q871,,,,
威姆氏腫瘤,0,C64,,,,
威康氏肉瘤,0,C499,,,,
威康氏腫瘤,0,D487,,,,
威廉氏症候群,0,Q998,,,,
威廉氏腫瘤,0,C64,,,,
威斯卡特艾崔克徵候群,0,D820,,,,
威格爾氏肉芽腫病,0,M313,,,,
威爾姆氏腫瘤,0,C64,,,,
威爾森氏症,0,E830,,,,
威爾森症,0,E830,,,,
威爾遜氏症,0,E830,,,,
威爾遜病,0,E830,,,,
威耳姆士氏腫瘤,0,C64,,,,
婦科惡性腫瘤,0,C579,,,,
婦科癌,0,C579,,,,
婦科癌症末期,0,C579,,,,
婦科腫瘤,0,D399,,,,
婦科骨盆腔惡性腫瘤,0,C579,,,,
嬰兒呼吸窘迫症,0,P229,,,,
嬰兒呼吸窘迫症候群,0,P220,,,,
嬰兒型氣喘,0,J459,,,,
嬰兒型肝臟血管瘤,0,D180,,,,
嬰兒型腦性麻痺,0,G809,,,,
嬰兒性痙攣,0,G404,,,,
嬰兒性腦性麻痺,0,G809,,,,
嬰兒意外,0,X599,,,,
嬰兒持續肺高壓,0,Q288,,,,
嬰兒搖晃症候群,7,T749,X58,X83,Y079,Y33
嬰兒早期性痙攣,0,G404,,,,
嬰兒早期罹患腦膜炎,0,G09,,,,
嬰兒猝死,0,R959,,,,
嬰兒猝死症,0,R959,,,,
嬰兒猝死症候群,0,R959,,,,
嬰兒脊髓性肌肉萎縮症,0,G120,,,,
嬰兒脊髓肌肉萎縮症,0,G120,,,,
嬰兒腦性麻痺,0,G809,,,,
嬰兒頭部滑入床墊與牆壁之隙縫間掩住口鼻,7,T71,W75,X70,X91,Y20
嬰兒頸部異物纏繞,7,T71,W76,X70,X91,Y20
子宮下垂,0,N814,,,,
子宮侵犯,0,C798,,,,
子宮內感染,1,N719,P008,,,
子宮內感染(產褥期敗血症),0,O85,,,,
子宮內死胎,1,O364,R999,,,
子宮內無羊水,1,O410,P012,,,
子宮內生長遲滯,0,P059,,,,
子宮內生長遲緩,0,P059,,,,
子宮內發育遲滯,0,P059,,,,
子宮內缺氧,0,P209,,,,
子宮內胎兒感染,0,P008,,,,
子宮內胎兒死亡,1,O364,R999,,,
子宮內胎兒水腫,0,P833,,,,
子宮內胎兒生長遲滯,0,P059,,,,
子宮內胎兒窘迫,0,P209,,,,
子宮內胎兒輸血症候群,1,O430,P023,,,
子宮內膜基質層肉瘤,0,C541,,,,
子宮內膜基質惡性肉瘤,0,C541,,,,
子宮內膜基質惡性腫瘤,0,C541,,,,
子宮內膜基質細胞肉瘤,0,C541,,,,
子宮內膜增生,0,N850,,,,
子宮內膜小細胞惡性腫瘤,0,C541,,,,
子宮內膜惡性肉瘤,0,C541,,,,
子宮內膜惡性腫瘤,0,C541,,,,
子宮內膜惡性贅瘤,0,C541,,,,
子宮內膜炎,0,N719,,,,
子宮內膜異位,0,N809,,,,
子宮內膜異位癌,0,C541,,,,
子宮內膜病變,0,N859,,,,
子宮內膜癌,0,C541,,,,
子宮內膜癌術後,0,C541,,,,
子宮內膜積膿,0,N719,,,,
子宮內膜細胞癌,0,C541,,,,
子宮內膜肉瘤,0,C541,,,,
子宮內膜肉瘤癌,0,C541,,,,
子宮內膜腫瘤,0,D390,,,,
子宮內膜腺惡性肉瘤,0,C541,,,,
子宮內膜腺癌,0,C541,,,,
子宮內膜轉移,0,C798,,,,
子宮內膜間質肉瘤,0,C541,,,,
子宮內膜間質肉癌,0,C541,,,,
子宮內膜頸癌,0,C530,,,,
子宮內膿瘍,0,N719,,,,
子宮內臍帶意外,1,O699,P026,,,
子宮內芽癌,0,C55,,,,
子宮內蓄膿,0,N719,,,,
子宮內血崩,0,N939(nTR),,,,
子宮出血,2,N939(nTR),S376(TR),,,
子宮切除術後,0,N859,,,,
子宮動脈手術切斷,5,T812,Y609,,,
子宮化膿症,0,N719,,,,
子宮原位癌,0,D073,,,,
子宮壁撕裂傷,2,N858,S376(TR),,,
子宮壁穿孔,2,O711,S376(TR),,,
子宮壞死,0,N719,,,,
子宮壞疽,0,N719,,,,
子宮外孕,0,O009,,,,
子宮平滑肌惡性肉瘤,0,C542,,,,
子宮平滑肌惡性腫瘤,0,C542,,,,
子宮平滑肌瘤,0,D259,,,,
子宮平滑肌癌,0,C542,,,,
子宮平滑肌肉瘤,0,C542,,,,
子宮平滑肌肉癌,0,C542,,,,
子宮惡性平滑肌肉瘤,0,C542,,,,
子宮惡性混合性苗勒惡性腫瘤,0,C55,,,,
子宮惡性癌症,0,C55,,,,
子宮惡性肉瘤,0,C55,,,,
子宮惡性肌瘤,0,C55,,,,
子宮惡性肌肉瘤,0,C55,,,,
子宮惡性腫瘤,0,C55,,,,
子宮惡性贅瘤,0,C55,,,,
子宮惡性軟組織肉瘤,0,C55,,,,
子宮惡性黑色素瘤,0,C55,,,,
子宮收縮不良,1,O622,P036,,,
子宮收縮無力,1,O622,P036,,,
子宮機能性出血,0,N939(nTR),,,,
子宮橫紋肌肉癌,0,C55,,,,
子宮混合性上皮癌,0,C55,,,,
子宮混合性米勒氏惡性肉瘤,0,C55,,,,
子宮混合性腺體肉瘤,0,C55,,,,
子宮混合拭穆氏癌,0,C55,,,,
子宮滋養層破裂,2,O019,S376(TR),,,
子宮滋養層細胞癌,0,C542,,,,
子宮潰瘍發炎,0,N719,,,,
子宮炎,0,N719,,,,
子宮無力,1,O622,P036,,,
子宮異常出血,2,N939(nTR),S376(TR),,,
子宮病變,0,N859,,,,
子宮瘤,0,D390,,,,
子宮癌,0,C55,,,,
子宮發炎,0,N719,,,,
子宮破裂,2,N858,S376(TR),,,
子宮神經內分泌癌,0,C55,,,,
子宮積膿,0,N719,,,,
子宮穿孔,2,N858,S376(TR),,,
子宮結腸膀胱多重廔管,5,N821,N824,,,
子宮絨毛膜癌,4,C629,C58,,,
子宮縫合處小動脈出血,2,N939(nTR),S376(TR),,,
子宮纖維瘤,0,D390,,,,
子宮纖維肌瘤,0,D259,,,,
子宮缺血性壞死,0,N719,,,,
子宮肉瘤,0,C55,,,,
子宮肉瘤癌,0,C55,,,,
子宮肉癌,0,C55,,,,
子宮肌瘤,0,D259,,,,
子宮肌癌,0,C542,,,,
子宮肌肉惡性腫瘤,0,C542,,,,
子宮肌肉瘤,0,C55,,,,
子宮肌肉癌,0,C542,,,,
子宮肌腺症,0,N800,,,,
子宮肌腺癌,0,C542,,,,
子宮肌體癌,0,C549,,,,
子宮肥大,0,N852,,,,
子宮脫垂,0,N814,,,,
子宮腐爛,0,N858,,,,
子宮腫塊,0,D390,,,,
子宮腫瘤,0,D390,,,,
子宮腺癌,0,C55,,,,
子宮腺肌症,0,N859,,,,
子宮膀胱廔管,0,N322,,,,
子宮膿瘍,0,N719,,,,
子宮良性腫瘤,0,D269,,,,
子宮蓄膿,0,N719,,,,
子宮血腫合併膿瘍,0,N719,,,,
子宮轉移,0,C798,,,,
子宮轉移性腺癌,0,C55,,,,
子宮附屬器惡性腫瘤,0,C574,,,,
子宮陰道廔管,0,N828,,,,
子宮頸上皮癌,0,C539,,,,
子宮頸上皮細胞癌,0,C539,,,,
子宮頸侵犯,0,C798,,,,
子宮頸內管腺癌,0,C539,,,,
子宮頸內膜惡性腫瘤,0,C539,,,,
子宮頸內膜癌,0,C539,,,,
子宮頸內部惡性腫瘤,0,C530,,,,
子宮頸出血,0,N888,,,,
子宮頸原位癌,0,D069,,,,
子宮頸外部惡性腫瘤,0,C539,,,,
子宮頸小細胞癌,0,C539,,,,
子宮頸平滑肌惡性腫瘤,0,C539,,,,
子宮頸性腫瘤,0,D390,,,,
子宮頸惡性病變,0,C539,,,,
子宮頸惡性肉瘤,0,C539,,,,
子宮頸惡性腫瘤,0,C539,,,,
子宮頸惡性贅瘤,0,C539,,,,
子宮頸扁平上皮癌,0,C539,,,,
子宮頸扁平細胞癌,0,C539,,,,
子宮頸炎,0,N72,,,,
子宮頸疾病,0,N889,,,,
子宮頸瘤術後,0,D390,,,,
子宮頸癌,0,C539,,,,
子宮頸癌局部復發,0,C539,,,,
子宮頸癌放射性治療後,0,C539,,,,
子宮頸癌放療後,0,C539,,,,
子宮頸癌第一期,0,C539,,,,
子宮頸癌第三期,0,C539,,,,
子宮頸癌第二期,0,C539,,,,
子宮頸皮內腫瘤,0,D390,,,,
子宮頸神經內分泌癌,0,C539,,,,
子宮頸糜爛,0,N86,,,,
子宮頸細胞化生不良,0,C539,,,,
子宮頸腫瘤,0,D390,,,,
子宮頸腺癌,0,C539,,,,
子宮頸腺細胞癌,0,C539,,,,
子宮頸腺肉瘤,0,C539,,,,
子宮頸膿瘍,0,N72,,,,
子宮頸轉移,0,C798,,,,
子宮頸轉移性腫瘤,0,C539,,,,
子宮頸轉移癌,0,C539,,,,
子宮頸部感染,0,N72,,,,
子宮頸閉鎖不全,1,O343,P010,,,
子宮頸鱗狀上皮癌,0,C539,,,,
子宮頸鱗狀細胞癌,0,C539,,,,
子宮體平滑肌癌,0,C549,,,,
子宮體惡性肉瘤,0,C549,,,,
子宮體惡性肉癌,0,C549,,,,
子宮體惡性腫瘤,0,C549,,,,
子宮體癌,0,C549,,,,
子宮體肉癌,0,C549,,,,
子宮體腫瘤,0,D390,,,,
子宮體腺癌,0,C549,,,,
子宮體良性腫瘤,0,D261,,,,
子宮鱗狀上皮細胞癌,0,C55,,,,
子宮黏膜下腫瘤,0,D390,,,,
子宮黏膜下良性腫瘤,0,D267,,,,
子宮黑色素瘤,0,C55,,,,
子彈貫穿,6,W34,X74,X95,Y24,
子彈貫穿傷,6,W34,X74,X95,Y24,
子彈貫通傷,6,W34,X74,X95,Y24,
子癇前症,1,O149,P000,,,
子癇症,1,O159,P000,,,
子癲前症,1,O149,P000,,,
子癲前症(生產42天後至一年內死亡),0,O960,,,,
子癲症,1,O159,P000,,,
子癲癇症,1,O159,P000,,,
孔腦症,0,Q046,,,,
孕婦症候群,0,O95,,,,
存在性動脈導管,0,Q250,,,,
存在性肺動脈導管,0,Q250,,,,
存在開放性肺動脈導管術後,0,Q250,,,,
存開性動脈導管,0,Q250,,,,
孟奇病,0,E830,,,,
孢子囊蟲肝炎,5,B428,K759,,,
季節性低溫,5,T68,X31,,,
季節性氣喘症,0,J459,,,,
孤立性漿細胞瘤,0,C902,,,,
它處轉移,0,C809,,,,
安全帶勒頸,7,T71,W76,X70,X91,Y20
安全帶拉扯意外,0,X58,,,,
安全帽帶勒痕窒息,7,T71,W76,X70,X91,Y20
安眠藥中毒,7,T427,X41,X61,X85,Y11
安眠藥中毒(F),0,F131,,,,
